+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| ed |    |    |    |    | le |    | (r |    |    |    |    |    |    |    |    |    |    |    |   |
| _S |    |    |    |    | r_ |    | es |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | Da |    | to |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | gu |    | ra |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | er |    | ti |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | re |    | on |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ot |    | ). |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | yp |    | jp |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e_ |    | g  |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | cr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | op |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 28 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | re |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | st |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | at |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | io |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 29 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -T |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | yl |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _D |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ag |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ue |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | eo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ty |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _c |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ro |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | p_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 8r |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | es |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 10 | ht | Ap | Ma | ht | Ty | ht | Jo | ht | 17 | (L | 10 |    |    | (1 | 14 | (1 |    |   |
| tp |    | tp | ri | rc | tp | le | tp | hn | tp | 90 | iv | th |    |    | 84 |    | 84 |    |   |
| s: |    | s: | l  | h  | s: | r  | s: | Ty | s: | –1 | ed |  V |    |    | 0) |    | 1) |    |   |
| // |    | // | 4, | 4, | // | Da | // | le | // | 86 | :  | ic |    |    |    |    |  ( |    |   |
| en |    | en | 18 | 18 | up | gu | en | r  | en | 2  | 71 | e  |    |    |    |    | 18 |    |   |
| .w |    | .w | 41 | 45 | lo | er | .w |    | .w |    | ye | Pr |    |    |    |    | 41 |    |   |
| ik |    | ik |  [ |    | ad | re | ik |    | ik |    | ar | es |    |    |    |    | )  |    |   |
| ip |    | ip | k] |    | .w | ot | ip |    | ip |    | s) | id |    |    |    |    |    |    |   |
| ed |    | ed |    |    | ik | yp | ed |    | ed |    |    | en |    |    |    |    |    |    |   |
| ia |    | ia |    |    | im | e  | ia |    | ia |    |    | t  |    |    |    |    |    |    |   |
| .o |    | .o |    |    | ed | cr | .o |    | .o |    |    | of |    |    |    |    |    |    |   |
| rg |    | rg |    |    | ia | op | rg |    | rg |    |    | th |    |    |    |    |    |    |   |
| /w |    | /w |    |    | .o | (r | /w |    | /w |    |    | e  |    |    |    |    |    |    |   |
| ik |    | ik |    |    | rg | es | ik |    | ik |    |    | Un |    |    |    |    |    |    |   |
| i/ |    | i/ |    |    | /w | to | i/ |    | i/ |    |    | it |    |    |    |    |    |    |   |
| Li |    | Pr |    |    | ik | ra | Fi |    | Jo |    |    | ed |    |    |    |    |    |    |   |
| st |    | es |    |    | ip | ti | le |    | hn |    |    | St |    |    |    |    |    |    |   |
| _o |    | id |    |    | ed | on | :T |    | _T |    |    | at |    |    |    |    |    |    |   |
| f_ |    | en |    |    | ia | ). | yl |    | yl |    |    | es |    |    |    |    |    |    |   |
| Pr |    | cy |    |    | /c | jp | er |    | er |    |    |    |    |    |    |    |    |    |   |
| es |    | _o |    |    | om | g  | _D |    |    |    |    |    |    |    |    |    |    |    |   |
| id |    | f_ |    |    | mo |    | ag |    |    |    |    |    |    |    |    |    |    |    |   |
| en |    | Jo |    |    | ns |    | ue |    |    |    |    |    |    |    |    |    |    |    |   |
| ts |    | hn |    |    | /t |    | rr |    |    |    |    |    |    |    |    |    |    |    |   |
| _o |    | _T |    |    | hu |    | eo |    |    |    |    |    |    |    |    |    |    |    |   |
| f_ |    | yl |    |    | mb |    | ty |    |    |    |    |    |    |    |    |    |    |    |   |
| th |    | er |    |    | /2 |    | pe |    |    |    |    |    |    |    |    |    |    |    |   |
| e_ |    |    |    |    | /2 |    | _c |    |    |    |    |    |    |    |    |    |    |    |   |
| Un |    |    |    |    | f/ |    | ro |    |    |    |    |    |    |    |    |    |    |    |   |
| it |    |    |    |    | Ty |    | p_ |    |    |    |    |    |    |    |    |    |    |    |   |
| ed |    |    |    |    | le |    | (r |    |    |    |    |    |    |    |    |    |    |    |   |
| _S |    |    |    |    | r_ |    | es |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | Da |    | to |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | gu |    | ra |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | er |    | ti |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | re |    | on |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ot |    | ). |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | yp |    | jp |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e_ |    | g  |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | cr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | op |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 28 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | re |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | st |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | at |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | io |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 29 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -T |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | yl |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _D |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ag |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ue |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | eo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ty |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _c |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ro |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | p_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 8r |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | es |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 11 | ht | Ma | Ma | ht | JK | ht | Ja | ht | 17 | (L | 9t | De | ht | (1 | 15 | (1 | Ge | h |
| tp |    | tp | rc | rc | tp | P. | tp | me | tp | 95 | iv | h  | mo | tp | 84 |    | 84 | or | t |
| s: |    | s: | h  | h  | s: | ti | s: | s  | s: | –1 | ed |  G | cr | s: | 4) |    | 5) | ge | t |
| // |    | // | 4, | 4, | // | f  | // | K. | // | 84 | :  | ov | at | // |    |    |    | M. | p |
| en |    | en | 18 | 18 | up |    | en | Po | en | 9  | 53 | er | ic | en |    |    |    | Da | s |
| .w |    | .w | 45 | 49 | lo |    | .w | lk | .w |    | ye | no |    | .w |    |    |    | ll | : |
| ik |    | ik |    |    | ad |    | ik |    | ik |    | ar | r  |    | ik |    |    |    | as | / |
| ip |    | ip |    |    | .w |    | ip |    | ip |    | s) | of |    | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik |    | ed |    | ed |    |    | Te |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im |    | ia |    | ia |    |    | nn |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed |    | .o |    | .o |    |    | es |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia |    | rg |    | rg |    |    | se |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    |  ( |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | 18 |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | Ja |    |    | 39 |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | me |    |    | –1 |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :J |    | s_ |    |    | 84 |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | KP |    | K. |    |    | 1) |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | .t |    | _P |    |    |    |    | ic |    |    |    |    | a |
