+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
|        |      |        |        |        |       |       | Kongu |       |       |       |       |
|        |      |        |        |        |       |       | r     |       |       |       |       |
|        |      |        |        |        |       |       | Tiube |       |       |       |       |
|        |      |        |        |        |       |       | (7530 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 47   | Mamost | 7,516  | 24,659 | 1,803 | Rimo  | 35°08 | Gashe | 1984  | 5 (0) | India |
| //en.w |      | ong    |        |        |       | Karak | ′31″N | rbrum |       |       |       |
| ikiped |      | Kangri |        |        |       | oram  | 77°34 | I     |       |       |       |
| ia.org |      |        |        |        |       |       | ′39″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 14194 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5775 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.14 |       |       |       |       |
| arth   |      |        |        |        |       |       | 194;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.57 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (47.  |       |       |       |       |
|        |      |        |        |        |       |       | Mamos |       |       |       |       |
|        |      |        |        |        |       |       | tong  |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i     |       |       |       |       |
|        |      |        |        |        |       |       | (7516 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 48   | Saser  | 7,513  | 24,649 | 1,458 | Saser | 34°48 | Saser | 2011  | 0 (0) | India |
| //en.w |      | Kangri |        |        |       | Karak | ′17″N | Kangr |       | [11]  |       |
